Name,Status,Launch Service Provider,Rocket,Mission,Net,Pad
Atlas SLV-3 Agena D | ATS 3,Launch Successful,United States Air Force,Atlas SLV-3 Agena D,ATS 3,11/05/1967 6:37 p.m.,"Launch Complex 12 | Cape Canaveral, FL, USA"
Atlas SLV-3C Centaur | Surveyor 6,Launch Successful,United States Air Force,Atlas SLV-3C Centaur,Surveyor 6,11/07/1967 2:39 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA"
Saturn V | Apollo 4,Launch Successful,National Aeronautics and Space Administration,Saturn V,Apollo 4,11/09/1967 7 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA"
Thor Delta E1 | ESSA 6,Launch Successful,United States Air Force,Thor Delta E1,ESSA 6,11/10/1967 12:53 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
X-15 | Flight 191,Launch Failure,United States Air Force,North American X-15,Flight 191,11/15/1967 1:30 p.m.,Edwards Air Force Base | Air launch to Suborbital flight
Kosmos 11K63 | DS-P1-Yu 11,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-P1-Yu 11,11/21/1967 9:29 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation"
Proton / UR-500 K/D | Soyuz 7K-L1 No.5L,Launch Failure,Soviet Space Program,Proton,—,11/22/1967 2:07 p.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos-3M | Zaliv 1,Launch Successful,Soviet Space Program,Kosmos-3M,Zaliv 1,11/23/1967 10 a.m.,"132/2 | Plesetsk Cosmodrome, Russian Federation"
Voskhod | Zenit-2 56,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 56,11/25/1967 6:30 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
SPARTA | WRESAT,Launch Successful,Weapons Research Establishment,SPARTA,WRESAT,11/28/1967 11:49 p.m.,Launch Area 8 | RAAF Woomera Range Complex
Voskhod | Zenit-4 37,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 37,12/03/1967 7 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Scout B | OV3-6,Launch Successful,United States Air Force,Scout B,OV3-6,12/04/1967 8:03 p.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA"
Titan IIIB | KH-8 10,Launch Successful,United States Air Force,Titan IIIB,KH-8 10,12/05/1967 1:45 p.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA"
Thorad SLV-2G Agena D | KH-4B 2,Launch Successful,United States Air Force,Thorad SLV-2G Agena D,KH-4B 2,12/09/1967 5:25 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor Delta E1 | Pioneer 8,Launch Successful,United States Air Force,Thor Delta E1,Pioneer 8,12/13/1967 9:08 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Voskhod | Zenit-2 57,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 57,12/16/1967 7 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Kosmos-2I 63S1 | DS-U1-G 2,Launch Successful,Soviet Space Program,Kosmos-2I 63S1,DS-U1-G 2,12/19/1967 1:30 a.m.,"86/1 | Kapustin Yar, Russian Federation"
Kosmos 11K63 | DS-U2-V 3,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-U2-V 3,12/26/1967 4:01 a.m.,"86/4 | Kapustin Yar, Russian Federation"
Tsiklon-2A | US-AO 3,Launch Successful,Soviet Space Program,Tsiklon-2A,US-AO 3,12/27/1967 6:28 a.m.,"90/19 | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas SLV-3C Centaur | Surveyor 7,Launch Successful,United States Air Force,Atlas SLV-3C Centaur,Surveyor 7,01/07/1968 1:30 a.m.,"Launch Complex 36A | Cape Canaveral, FL, USA"
Thor Delta E1 | GEOS B,Launch Successful,United States Air Force,Thor Delta E1,GEOS B,01/11/1968 11:16 a.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Voskhod | Zenit-2 58,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 58,01/16/1968 7 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Thor SLV-2A Agena D | Multigroup 3 & Setter 1B-2,Launch Successful,United States Air Force,Thor SLV-2A Agena D,Multigroup 3 & Setter 1B-2,01/17/1968 5:12 a.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA"
Titan IIIB | KH-8 11,Launch Successful,United States Air Force,Titan IIIB,KH-8 11,01/18/1968 2:04 p.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA"
Kosmos-3M | Tselina-O 2,Launch Successful,Soviet Space Program,Kosmos-3M,Tselina-O 2,01/19/1968 5 p.m.,"132/2 | Plesetsk Cosmodrome, Russian Federation"
Saturn IB | Apollo 5,Launch Successful,National Aeronautics and Space Administration,Saturn IB,Apollo 5,01/22/1968 5:48 p.m.,"Launch Complex 34 | Cape Canaveral, FL, USA"
Thorad SLV-2G Agena D | KH-4A 45,Launch Successful,United States Air Force,Thorad SLV-2G Agena D,KH-4A 45,01/24/1968 5:26 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Voskhod | Zenit-4 38,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 38,02/06/1968 3 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Molniya-M | Ye-6LS 112,Launch Failure,Soviet Space Program,Molniya-M,Ye-6LS 112,02/07/1968 5:43 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos 11K63 | DS-U2-V 4,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-U2-V 4,02/20/1968 5:03 a.m.,"86/4 | Kapustin Yar, Russian Federation"
Kosmos-3M | Sfera 1,Launch Successful,Soviet Space Program,Kosmos-3M,Sfera 1,02/20/1968 11 a.m.,"132/2 | Plesetsk Cosmodrome, Russian Federation"
Scout A | Transit-O 18,Launch Successful,United States Air Force,Scout A,Transit-O 18,03/01/1968 10:55 p.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA"
Proton / UR-500 K/D | Zond 4,Launch Successful,Soviet Space Program,Proton,—,03/02/1968 1:29 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas SLV-3A Agena D | OGO 5,Launch Successful,United States Air Force,Atlas SLV-3A Agena D,OGO 5,03/04/1968 8:06 a.m.,"Space Launch Complex 13 | Cape Canaveral, FL, USA"
Kosmos 11K63 | DS-P1-I 3,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-P1-I 3,03/05/1968 6:20 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation"
Voskhod | Zenit-2 59,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 59,03/05/1968 7:30 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Scout B | Explorer 37,Launch Successful,National Aeronautics and Space Administration,Scout B,Explorer 37,03/05/1968 1:28 p.m.,"Launch Area 3A | Wallops Island, Virginia, USA"
Kosmos 11K63 | DS-U1-Ya 1,Launch Failure,Soviet Space Program,Kosmos 11K63,DS-U1-Ya 1,03/06/1968 6:02 a.m.,"86/4 | Kapustin Yar, Russian Federation"
Titan IIIB | KH-8 12,Launch Successful,United States Air Force,Titan IIIB,KH-8 12,03/13/1968 2:51 p.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA"
Vostok 8A92M | Meteor-1 9,Launch Successful,Soviet Space Program,Vostok 8A92M,Meteor-1 9,03/14/1968 4:34 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Thorad SLV-2G Agena D | KH-4A 46,Launch Successful,United States Air Force,Thorad SLV-2G Agena D,KH-4A 46,03/14/1968 5 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Voskhod | Zenit-4 39,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 39,03/16/1968 7:30 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Voskhod | Zenit-2M 1,Launch Successful,Soviet Space Program,Voskhod,Zenit-2M 1,03/21/1968 4:50 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Tsiklon-2A | US-AO 4,Launch Successful,Soviet Space Program,Tsiklon-2A,US-AO 4,03/22/1968 4:30 a.m.,"90/19 | Baikonur Cosmodrome, Republic of Kazakhstan"
Voskhod | Zenit-2 60,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 60,04/03/1968 6 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Saturn V | Apollo 6,Partial Failure,National Aeronautics and Space Administration,Saturn V,Apollo 6,04/04/1968 7 a.m.,"Launch Complex 39A | Kennedy Space Center, FL, USA"
Atlas F | OV1-13 & 14,Launch Successful,United States Air Force,Atlas F,OV1-13 & 14,04/06/1968 4:59 a.m.,"576A2 | Vandenberg SFB, CA, USA"
Molniya-M | Luna-14,Launch Successful,Soviet Space Program,Molniya-M,Luna-14,04/07/1968 5:09 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos 11K63 | DS-P1-Yu 12,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-P1-Yu 12,04/09/1968 6:26 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation"
Soyuz | Kosmos 212,Launch Successful,Soviet Space Program,Soyuz,—,04/14/1968 5 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Soyuz | Kosmos 213,Launch Successful,Soviet Space Program,Soyuz,—,04/15/1968 4:34 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Titan IIIB | KH-8 13,Launch Successful,United States Air Force,Titan IIIB,KH-8 13,04/17/1968 noon,"Space Launch Complex 4W | Vandenberg SFB, CA, USA"
Voskhod | Zenit-4 40,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 40,04/18/1968 5:30 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Kosmos 11K63 | DS-U1-A,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-U1-A,04/18/1968 5:29 p.m.,"86/4 | Kapustin Yar, Russian Federation"
Voskhod | Zenit-2 61,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 61,04/20/1968 5:30 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Molniya-M | Molniya-1 8,Launch Successful,Soviet Space Program,Molniya-M,Molniya-1 8,04/20/1968 11:20 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Proton / UR-500 K/D | Soyuz 7K-L1 No.7L,Launch Failure,Soviet Space Program,Proton,—,04/22/1968 6:01 p.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan"
Tsiklon-2A | I2M 1,Launch Successful,Soviet Space Program,Tsiklon-2A,I2M 1,04/24/1968 11 a.m.,"90/20 | Baikonur Cosmodrome, Republic of Kazakhstan"
R-36O 8K69 | OGCh 17,Launch Successful,Soviet Space Program,R-36O 8K69,OGCh 17,04/24/1968 7:45 p.m.,"162/36 | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos 11K63 | DS-U2-D 2,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-U2-D 2,04/25/1968 11:42 p.m.,"86/4 | Kapustin Yar, Russian Federation"
Thorad SLV-2G Agena D | KH-4B 3,Launch Successful,United States Air Force,Thorad SLV-2G Agena D,KH-4B 3,05/01/1968 5:31 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Kosmos-3M | Zaliv 2,Launch Successful,Soviet Space Program,Kosmos-3M,Zaliv 2,05/07/1968 9:58 a.m.,"132/2 | Plesetsk Cosmodrome, Russian Federation"
Scout B | ESRO 2B,Launch Successful,European Space Research Organisation,Scout B,ESRO 2B,05/16/1968 10:06 p.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA"
Thorad SLV-2G Agena D | Nimbus B,Launch Failure,United States Air Force,Thorad SLV-2G Agena D,Nimbus B,05/18/1968 4:23 a.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
R-36O 8K69 | OGCh 18,Launch Successful,Soviet Space Program,R-36O 8K69,OGCh 18,05/20/1968 6:05 p.m.,"162/36 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor Burner 2 | DSAP-4B F1,Launch Successful,United States Air Force,Thor Burner 2,DSAP-4B F1,05/23/1968 12:38 a.m.,"Space Launch Complex 10W | Vandenberg SFB, CA, USA"
Kosmos 11K63 | DS-P1-Yu 13,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-P1-Yu 13,05/24/1968 3:04 a.m.,"86/4 | Kapustin Yar, Russian Federation"
R-36O 8K69 | OGCh 19,Launch Successful,Soviet Space Program,R-36O 8K69,OGCh 19,05/27/1968 7:15 p.m.,"161/35 | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos 11K63 | DS-P1-Yu 14,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-P1-Yu 14,05/30/1968 4:29 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation"
Voskhod | Zenit-2 62,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 62,06/01/1968 6:50 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Voskhod | Zenit-4 41,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 41,06/04/1968 2:45 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos-3M | Sfera 2,Launch Failure,Soviet Space Program,Kosmos-3M,Sfera 2,06/04/1968 2:45 p.m.,"132/2 | Plesetsk Cosmodrome, Russian Federation"
Titan IIIB | KH-8 14,Launch Successful,United States Air Force,Titan IIIB,KH-8 14,06/05/1968 1:33 p.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA"
Kosmos 11K63 | DS-U1-Ya 2,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-U1-Ya 2,06/11/1968 5:29 p.m.,"86/4 | Kapustin Yar, Russian Federation"
Vostok 8A92M | Meteor-1 10,Launch Successful,Soviet Space Program,Vostok 8A92M,Meteor-1 10,06/12/1968 9:14 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Titan IIIC | IDCSP 20 to 27,Launch Successful,United States Air Force,Titan IIIC,IDCSP 20 to 27,06/13/1968 10:03 a.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA"
Kosmos 11K65 | Strela-2 4,Launch Failure,Soviet Space Program,Kosmos 11K65,Strela-2 4,06/15/1968 8:25 a.m.,"41/15 | Baikonur Cosmodrome, Republic of Kazakhstan"
Voskhod | Zenit-4 42,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 42,06/18/1968 2:15 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thorad SLV-2G Agena D | KH-4A 47,Launch Successful,United States Air Force,Thorad SLV-2G Agena D,KH-4A 47,06/20/1968 5:46 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Voskhod | Zenit-2M 2,Launch Successful,Soviet Space Program,Voskhod,Zenit-2M 2,06/21/1968 8 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Voskhod | Zenit-4 43,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 43,06/26/1968 7 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Thor Delta J | RAE 1,Launch Successful,United States Air Force,Thor Delta J,RAE 1,07/04/1968 1:26 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Kosmos 11K63 | DS-U3-S 2,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-U3-S 2,07/05/1968 2:59 a.m.,"86/4 | Kapustin Yar, Russian Federation"
Molniya-M | Molniya-1 9,Launch Successful,Soviet Space Program,Molniya-M,Molniya-1 9,07/05/1968 11:25 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Voskhod | Zenit-2 63,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 63,07/10/1968 3:49 p.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas F | OV1-15,Launch Successful,United States Air Force,Atlas F,OV1-15,07/11/1968 3:30 p.m.,"576A2 | Vandenberg SFB, CA, USA"
Voskhod | Zenit-4 44,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 44,07/16/1968 9:10 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Kosmos 11K63 | DS-P1-Yu 15,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-P1-Yu 15,07/18/1968 3:59 p.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation"
Proton / UR-500 K/D | Soyuz 7K-L1 No.8L,Launch Failure,Soviet Space Program,Proton,—,07/20/1968 8 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Voskhod | Zenit-4 45,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 45,07/30/1968 3 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas SLV-3A Agena D | Canyon 1,Launch Successful,United States Air Force,Atlas SLV-3A Agena D,Canyon 1,08/06/1968 7:08 a.m.,"Space Launch Complex 13 | Cape Canaveral, FL, USA"
Titan IIIB | KH-8 15,Launch Successful,United States Air Force,Titan IIIB,KH-8 15,08/06/1968 12:30 p.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA"
Thorad SLV-2G Agena D | KH-4B 4,Launch Successful,United States Air Force,Thorad SLV-2G Agena D,KH-4B 4,08/07/1968 5:36 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Scout B | Explorer 39,Launch Successful,National Aeronautics and Space Administration,Scout B,Explorer 39,08/08/1968 4:12 p.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA"
Voskhod | Zenit-2 64,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 64,08/09/1968 3 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas SLV-3C Centaur | ATS 4,Launch Successful,United States Air Force,Atlas SLV-3C Centaur,ATS 4,08/10/1968 6:33 p.m.,"Launch Complex 36A | Cape Canaveral, FL, USA"
Thor Delta N | ESSA 7,Launch Successful,United States Air Force,Thor Delta N,ESSA 7,08/16/1968 7:24 a.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Atlas Burner 2 | UVR,Launch Failure,United States Air Force,Atlas Burner 2,UVR,08/16/1968 4:57 p.m.,"Space Launch Complex 3E | Vandenberg SFB, CA, USA"
X-15 | Flight 197,Launch Successful,United States Air Force,North American X-15,Flight 197,08/21/1968 1:05 p.m.,Edwards Air Force Base | Air launch to Suborbital flight
Scout B | RAM C-2,Launch Successful,National Aeronautics and Space Administration,Scout B,RAM C-2,08/22/1968 11:16 a.m.,"Launch Area 3A | Wallops Island, Virginia, USA"
Kosmos 11K65 | Strela-2 5,Launch Successful,Soviet Space Program,Kosmos 11K65,Strela-2 5,08/27/1968 7:29 a.m.,"41/15 | Baikonur Cosmodrome, Republic of Kazakhstan"
Voskhod | Zenit-4 46,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 46,08/27/1968 8:29 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Soyuz | Kosmos 238,Launch Successful,Soviet Space Program,Soyuz,—,08/28/1968 6:04 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Voskhod | Zenit-4 47,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 47,09/05/1968 3 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Titan IIIB | KH-8 16,Launch Successful,United States Air Force,Titan IIIB,KH-8 16,09/10/1968 2:30 p.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA"
Voskhod | Zenit-2 65,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 65,09/14/1968 2:50 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Proton / UR-500 K/D | Zond 5,Launch Successful,Soviet Space Program,Proton,—,09/14/1968 5:42 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Voskhod | Zenit-4 48,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 48,09/16/1968 8:30 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Thorad SLV-2G Agena D | KH-4A 48,Launch Successful,United States Air Force,Thorad SLV-2G Agena D,KH-4A 48,09/18/1968 5:32 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Thor Delta M | INTELSAT III F-1,Launch Failure,United States Air Force,Thor Delta M,INTELSAT III F-1,09/18/1968 8:09 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Kosmos 11K63 | DS-P1-I 4,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-P1-I 4,09/20/1968 10:39 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation"
Voskhod | Zenit-2M 3,Launch Successful,Soviet Space Program,Voskhod,Zenit-2M 3,09/23/1968 3:39 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Titan IIIC | OV2-5,Launch Successful,United States Air Force,Titan IIIC,OV2-5,09/26/1968 3:37 a.m.,"Space Launch Complex 41 | Cape Canaveral, FL, USA"
R-36O 8K69 | OGCh 20,Launch Successful,Soviet Space Program,R-36O 8K69,OGCh 20,10/02/1968 9:35 a.m.,"161/35 | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos 11K63 | DS-P1-Yu 16,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-P1-Yu 16,10/03/1968 8:58 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation"
Scout B | ESRO 1A (Aurorae),Launch Successful,European Space Research Organisation,Scout B,ESRO 1A (Aurorae),10/03/1968 4:49 p.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA"
Molniya-M | Molniya-1 10,Launch Successful,Soviet Space Program,Molniya-M,Molniya-1 10,10/04/1968 8:32 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thorad SLV-2G Agena D | Strawman 1,Launch Successful,United States Air Force,Thorad SLV-2G Agena D,Strawman 1,10/05/1968 7:16 a.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Voskhod | Zenit-4 49,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 49,10/07/1968 8:05 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Voskhod | Zenit-2 66,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 66,10/11/1968 8:05 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Saturn IB | Apollo 7,Launch Successful,National Aeronautics and Space Administration,Saturn IB,Apollo 7,10/11/1968 11:02 a.m.,"Launch Complex 34 | Cape Canaveral, FL, USA"
Tsiklon-2A | I2M 2,Launch Successful,Soviet Space Program,Tsiklon-2A,I2M 2,10/19/1968 12:20 a.m.,"90/19 | Baikonur Cosmodrome, Republic of Kazakhstan"
Tsiklon-2A | I2P 1,Launch Successful,Soviet Space Program,Tsiklon-2A,I2P 1,10/20/1968 12:02 a.m.,"90/20 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor Burner 2 | DSAP-4B F2,Launch Successful,United States Air Force,Thor Burner 2,DSAP-4B F2,10/23/1968 12:34 a.m.,"Space Launch Complex 10W | Vandenberg SFB, CA, USA"
Soyuz | Soyuz 2,Launch Successful,Soviet Space Program,Soyuz,—,10/25/1968 5 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Soyuz | Soyuz 3,Launch Successful,Soviet Space Program,Soyuz,Soyuz 3,10/26/1968 4:34 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos-3M | Tselina-O 3,Launch Successful,Soviet Space Program,Kosmos-3M,Tselina-O 3,10/30/1968 5 p.m.,"132/2 | Plesetsk Cosmodrome, Russian Federation"
Voskhod | Zenit-4M 1,Launch Successful,Soviet Space Program,Voskhod,Zenit-4M 1,10/31/1968 4:14 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Tsiklon-2A | I2P 2,Launch Successful,Soviet Space Program,Tsiklon-2A,I2P 2,10/31/1968 7:27 p.m.,"90/20 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thorad SLV-2G Agena D | KH-4B 5,Launch Successful,United States Air Force,Thorad SLV-2G Agena D,KH-4B 5,11/03/1968 4:30 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Titan IIIB | KH-8 17,Launch Successful,United States Air Force,Titan IIIB,KH-8 17,11/06/1968 2:10 p.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA"
Thor Delta E1 | Pioneer 9,Launch Successful,United States Air Force,Thor Delta E1,Pioneer 9,11/08/1968 4:46 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Proton / UR-500 K/D | Zond 6,Launch Successful,Soviet Space Program,Proton,—,11/10/1968 2:11 p.m.,"81/23 (81L) | Baikonur Cosmodrome, Republic of Kazakhstan"
Voskhod | Zenit-2 67,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 67,11/13/1968 7 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Proton | Proton-4,Launch Successful,Soviet Space Program,Proton,Proton-4,11/16/1968 6:40 a.m.,"81/24 (81P) | Baikonur Cosmodrome, Republic of Kazakhstan"
Voskhod | Zenit-4 50,Launch Successful,Soviet Space Program,Voskhod,Zenit-4 50,11/21/1968 7:10 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Voskhod | Zenit-2 68,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 68,11/29/1968 7:40 a.m.,"41/1 | Plesetsk Cosmodrome, Russian Federation"
Europa I | STV 1,Launch Failure,European Launcher Development Organisation,Europa I,STV 1,11/29/1968 6:12 p.m.,Launch Area 6A | RAAF Woomera Range Complex
Kosmos-3M | Sfera 3,Launch Successful,Soviet Space Program,Kosmos-3M,Sfera 3,11/30/1968 7 a.m.,"132/2 | Plesetsk Cosmodrome, Russian Federation"
Kosmos 11K63 | DS-P1-Yu 17,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-P1-Yu 17,12/03/1968 9:52 a.m.,"133/3 (133L) | Plesetsk Cosmodrome, Russian Federation"
Titan IIIB | KH-8 18,Launch Successful,United States Air Force,Titan IIIB,KH-8 18,12/04/1968 2:23 p.m.,"Space Launch Complex 4W | Vandenberg SFB, CA, USA"
Thor Delta E1 | HEOS 1,Launch Successful,United States Air Force,Thor Delta E1,HEOS 1,12/05/1968 1:55 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Atlas SLV-3C Centaur | OAO 2,Launch Successful,United States Air Force,Atlas SLV-3C Centaur,OAO 2,12/07/1968 3:40 a.m.,"Launch Complex 36B | Cape Canaveral, FL, USA"
Voskhod | Zenit-2 69,Launch Successful,Soviet Space Program,Voskhod,Zenit-2 69,12/10/1968 3:25 a.m.,"31/6 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thorad SLV-2G Agena D | KH-4A 49,Launch Successful,United States Air Force,Thorad SLV-2G Agena D,KH-4A 49,12/12/1968 5:22 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Kosmos 11K63 | DS-U2-I 3,Launch Successful,Soviet Space Program,Kosmos 11K63,DS-U2-I 3,12/14/1968 12:09 a.m.,"86/4 | Kapustin Yar, Russian Federation"
Thor Delta N | ESSA 8,Launch Successful,United States Air Force,Thor Delta N,ESSA 8,12/15/1968 12:21 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
